customer_email,human_response
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
Cancel my subscription.,Your subscription has been cancelled successfully.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
Where is my order?,You can track your shipment using the tracking link sent via email.
Where is my order?,You can track your shipment using the tracking link sent via email.
Where is my order?,You can track your shipment using the tracking link sent via email.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
Payment is failing.,Please try another payment method or contact your bank.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
Cancel my subscription.,Your subscription has been cancelled successfully.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
Payment is failing.,Please try another payment method or contact your bank.
Where is my order?,You can track your shipment using the tracking link sent via email.
Cancel my subscription.,Your subscription has been cancelled successfully.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
Cancel my subscription.,Your subscription has been cancelled successfully.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
Cancel my subscription.,Your subscription has been cancelled successfully.
Cancel my subscription.,Your subscription has been cancelled successfully.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Where is my order?,You can track your shipment using the tracking link sent via email.
Cancel my subscription.,Your subscription has been cancelled successfully.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Payment is failing.,Please try another payment method or contact your bank.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
Cancel my subscription.,Your subscription has been cancelled successfully.
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
Payment is failing.,Please try another payment method or contact your bank.
Payment is failing.,Please try another payment method or contact your bank.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
Where is my order?,You can track your shipment using the tracking link sent via email.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Payment is failing.,Please try another payment method or contact your bank.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
Payment is failing.,Please try another payment method or contact your bank.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I haven't received my refund.,We're sorry for the delay. Your refund is being processed and should arrive within 3-5 business days.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I forgot my password.,Please click on 'Forgot Password' to reset your password.
Payment is failing.,Please try another payment method or contact your bank.
Cancel my subscription.,Your subscription has been cancelled successfully.
Payment is failing.,Please try another payment method or contact your bank.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
My item arrived damaged.,We're extremely sorry. We'll replace your damaged product immediately.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
Payment is failing.,Please try another payment method or contact your bank.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Payment is failing.,Please try another payment method or contact your bank.
Payment is failing.,Please try another payment method or contact your bank.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Cancel my subscription.,Your subscription has been cancelled successfully.
I was charged twice.,We'll investigate the duplicate payment and issue a refund if applicable.
Where is my order?,You can track your shipment using the tracking link sent via email.
Cancel my subscription.,Your subscription has been cancelled successfully.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
I forgot my password.,Please click on 'Forgot Password' to reset your password.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
Payment is failing.,Please try another payment method or contact your bank.
I need to change my delivery address.,"If the order hasn't shipped yet, we'll update your address."
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
Cancel my subscription.,Your subscription has been cancelled successfully.
Cancel my subscription.,Your subscription has been cancelled successfully.
My order is late.,We apologize for the delay. Your package is in transit and should arrive soon.
I received the wrong product.,We're sorry for the mistake. We'll ship the correct item immediately.
